Image,Class,Mean,Variance,Standard Deviation,Entropy,Skewness,Kurtosis,Contrast,Energy,ASM,Homogeneity,Dissimilarity,Correlation,Coarseness,PSNR,SSIM,DC,TS
Image1,0,8.749969482421875,805.9576339950775,28.389392983913503,0.2665383067201934,3.7181156257623673,14.464617538771831,63.858815875081326,0.475051295953323,0.22567373378693165,0.6513520274892606,3.220071567989589,0.9888343956125192,7.4583407311987535e-155,Exaclty Same,1.0,1.0,1.0
Image2,1,16.37664794921875,1666.0270956781492,40.81699518188654,0.00180987628575076,3.2708309110852283,11.744579256790436,127.10721369662802,0.03553558392005783,0.0012627777245394726,0.31580697070509195,6.406096669798517,0.9728150490523156,7.4583407311987535e-155,108.8281082682796,0.9729127015966724,0.7403846153846154,0.5877862595419847
Image3,1,7.341094970703125,1143.8082191843775,33.82023387240805,0.0014668110147850802,5.0617504115641685,26.47956316455328,81.86720593191777,0.03191671211609263,0.001018676512301534,0.2682748890548721,5.981799797775531,0.978013692812984,7.4583407311987535e-155,110.34659737460763,0.9779527874393928,0.8390188892021426,0.7226809130645945
Image4,1,7.2656402587890625,1135.2300815932547,33.693175593779436,0.0011668116899226082,5.069644760841698,26.49492685512009,104.7319658119658,0.028452168576496663,0.000809525896705384,0.2197020707978377,6.757948717948718,0.970220792335384,7.4583407311987535e-155,111.84914480596005,0.9827376399140634,0.8824214202561118,0.7895833333333333
Image5,1,5.9581451416015625,959.711984907359,30.9792185974301,0.001477124416673872,5.677977408822807,33.4288453356089,151.22974101921469,0.03202374897705085,0.0010255204985451657,0.24385091316176585,7.700918964076857,0.9641891830439564,7.4583407311987535e-155,112.2662978145452,0.9853620242280676,0.849774866966844,0.7387900355871886
Image6,0,7.52410888671875,607.3952577784022,24.64539019326743,0.21408562564814787,3.729886120740799,14.471736054747838,105.0778816199377,0.42158745340618026,0.17773598086950826,0.5981692030058083,4.193146417445483,0.9764849634768236,7.4583407311987535e-155,Exaclty Same,1.0,1.0,1.0
Image7,0,12.304412841796875,922.7461377395613,30.37673678556605,0.12883309871521142,2.9300947326401032,8.969347632694848,115.20311841550779,0.3206745606007683,0.1028321738164958,0.5322924527410647,4.880320269700801,0.9747452374902468,7.4583407311987535e-155,Exaclty Same,1.0,1.0,1.0
Image8,0,15.929473876953125,1069.9502475706634,32.710093970679196,0.10765759013777754,2.4840021918096085,6.515889464090959,94.87428842504744,0.2913213725485413,0.08486814210356597,0.5322616725197428,4.242054079696395,0.9767742233502436,7.4583407311987535e-155,Exaclty Same,1.0,1.0,1.0
Image9,0,19.921615600585934,1166.1209220146873,34.14851273503265,0.09497545682520513,2.1291730107874414,4.905844176330379,93.81892009474552,0.2724857761426086,0.0742484982000398,0.5266436658109712,4.027166819741867,0.9743103171406357,7.4583407311987535e-155,Exaclty Same,1.0,1.0,1.0
Image10,0,20.93177795410156,1177.7009520774284,34.31764782262077,0.07841414340797442,2.0729038321106485,4.664009148494014,102.4842504743833,0.2461815103678785,0.06060533604700985,0.5135294150421361,4.1824478178368105,0.9700253213676596,7.4583407311987535e-155,Exaclty Same,1.0,1.0,1.0
Image11,1,6.480392456054688,861.0295824540215,29.34330558158064,0.0023959715649698394,4.960656411222118,25.37394053330615,60.62429659053294,0.04080035080766442,0.0016646686260284814,0.3292468956909722,4.498510427010924,0.9702242472525344,7.4583407311987535e-155,111.19197987770892,0.9813732487641232,0.8764458464773922,0.7800655124005615
Image12,1,8.4761962890625,1095.785127319499,33.10264532208112,0.0030018911055217845,4.3649999230742536,19.68251366309622,72.58878269617708,0.04568508107728017,0.0020871266330376626,0.36143163857930943,4.590794768611671,0.9678296996416668,7.4583407311987535e-155,111.43912875591991,0.98189139297566,0.9144838212634824,0.8424414478353442
Image13,1,9.804611206054688,1114.8296529307781,33.38906487056471,0.0024362088841106896,3.8727276951584138,15.552861632074526,66.28546238244513,0.04114000202491485,0.0016924997666099974,0.3756176679401564,4.626763322884012,0.9687498473856312,7.4583407311987535e-155,113.06996006359824,0.9839627726777148,0.945252198887094,0.8961878829135467
Image14,1,2.7337188720703125,415.31439294915435,20.37926379801671,0.0018501833448977816,8.062586109261336,68.0217928558544,95.73569023569023,0.03583130749796761,0.0012838825970139102,0.2674080531913073,6.132996632996633,0.9690631852958441,7.4583407311987535e-155,69.4205907527795,0.9855116003185099,0.7266922094508301,0.5707121364092277
Image15,1,12.3267822265625,1150.6771443363987,33.92163239492461,0.003768576062696501,3.62397773230122,14.762269899565654,165.48479064773952,0.05132104975220585,0.002633850147668388,0.3852916407053215,5.215436001431469,0.958601276832679,7.4583407311987535e-155,70.6699781188625,0.9860052023199724,0.9227808515756556,0.8566324251898169
Image16,1,5.268157958984375,748.1199429197328,27.35178134819984,0.0022053959352718346,5.608681106927151,32.58870189559226,106.09008620689656,0.039130477415722925,0.001531194262782402,0.3568576882648811,4.389224137931034,0.9467101157764741,7.4583407311987535e-155,65.6320288765131,0.9702086758717,0.7070938215102975,0.5469026548672566
Image17,1,10.193466186523438,813.9243634300012,28.52935967437757,0.009774474664877644,3.3591346679548955,12.181669507389927,110.56864295125165,0.083283924590368,0.006936212095174104,0.470426405236625,3.566798418972332,0.9468841391915604,7.4583407311987535e-155,71.42139080132135,0.9845743099870468,0.9054621848739496,0.8272552783109405
Image18,0,7.15631103515625,413.4382213068254,20.333180304783248,0.08182546338128165,3.1797813526803482,10.287346588375838,122.40266370699223,0.2509081486230682,0.06295489904545568,0.5838885689250535,3.552497225305217,0.9382381146208252,7.4583407311987535e-155,Exaclty Same,1.0,1.0,1.0
Image19,1,2.240264892578125,274.0941226614022,16.555788192091676,0.0027361903312645448,7.829272910031762,63.218250510150305,95.07894736842104,0.043604695573388204,0.0019013694760478608,0.2997341951622817,5.6137521222410856,0.9353594351730804,7.4583407311987535e-155,115.26478022697074,0.9914389429568076,0.8676258992805755,0.7662007623888183
Image20,1,12.773941040039062,988.4031722360222,31.43887994563455,0.0022341812974732184,3.1954622754434707,11.101878855689858,84.66410206466692,0.03939601012609833,0.001552045613855642,0.3731897004956656,5.033599532528244,0.9746003825814616,7.4583407311987535e-155,113.58326554832205,0.985112985246572,0.91361173095314,0.8409624413145541
Image21,1,11.528060913085938,897.7286254997473,29.962119843224496,0.002319420523702524,3.3469559528467325,12.223719311530274,95.82232804232805,0.04015269977239122,0.001612239299011786,0.38712738638636535,4.992275132275132,0.9705917778222706,7.4583407311987535e-155,114.52839352102005,0.9882667674169648,0.92118582791034,0.8538873994638071
Image22,1,15.317520141601562,1076.8780017056579,32.815819381902664,0.004807546478787544,2.8348341995126005,8.814871886907538,102.2484150817484,0.05807276798489619,0.0033724463814275843,0.3992514124054234,5.049049049049049,0.9597329313387416,7.4583407311987535e-155,108.68570387713349,0.9679692517601778,0.7694849903607821,0.6253357206803939
