Image,Mean,Variance,Standard Deviation,Entropy,Skewness,Kurtosis,Contrast,Energy,ASM,Homogeneity,Dissimilarity,Correlation,Coarseness,PSNR,SSIM,MSE,DC,Class
Image1,23.4485168457031,2538.98562723108,50.3883481296131,0.651174110149252,1.98420230714192,5.42104151634466,181.467712691771,0.781556904708577,0.610831195297652,0.847033258020169,2.76541143654114,0.968576114521771,7.45834073119875E-155,97.9746297909262,0.777011069723163,0.171163194444444,0.303988704553477,1
Image2,4.39833068847656,834.853030009846,28.8938233885695,0.953531651399684,6.49520261975008,43.349355095829,76.7458856345885,0.97276952130845,0.946280541586671,0.980761604941833,0.54860529986053,0.95975053123432,7.45834073119875E-155,110.346597374608,0.977952787439393,0.009913194444444,0.839018889202143,1
Image3,3.2442626953125,642.059166483639,25.3388864491642,0.966064535905842,7.77286017157985,61.7560342340969,81.7524058577406,0.980160923246596,0.960715435459619,0.98506594115144,0.540411436541144,0.944258659747834,7.45834073119875E-155,112.266297814545,0.985362024228068,0.006371527777778,0.849774866966844,1
Image4,8.5113525390625,1126.21418666333,33.5591148075055,0.868765065294963,3.76314235608016,15.1075794712255,362.291213389121,0.921786235117467,0.849689863252034,0.949295330330385,2.76572524407252,0.859027140607985,7.45834073119875E-155,101.955792257632,0.881015190235694,0.0684375,0,0
Image5,21.0007934570312,2235.3169782236,47.279138932764,0.68472440308951,1.93602890008572,4.72234262468427,312.439225941423,0.804183619107937,0.64671129324154,0.880300757508311,3.00665969316597,0.93857190008795,7.45834073119875E-155,97.6398701867106,0.766308436754121,0.184878472222222,0,0
Image6,0,0,0,1,,,0,1,1,1,0,1,7.45834073119875E-155,inf,,0,,0
Image7,11.3505554199219,998.972243041308,31.6065221598534,0.761106455847814,2.53391955281513,7.39458649709781,303.947977684798,0.85427681057753,0.729788869090517,0.902355422977035,3.44055090655509,0.866479537428157,7.45834073119875E-155,99.2065788249581,0.794880684955349,0.128888888888889,0,0
Image8,0.405136108398438,68.378717860499,8.26914251059316,0.994723583795762,20.3880245843877,416.84343308209,17.7891562064156,0.9969317176949,0.993872849746104,0.997884642132548,0.114400278940028,0.886143988013509,7.45834073119875E-155,111.371193038286,0.98517536384712,0.007829861111111,0.410457516339869,1
Image9,5.95587158203125,937.438649964828,30.6176199265199,0.926931074332188,5.01543415867363,26.1504396205374,57.2268131101813,0.956960612760724,0.915773614375381,0.974156642396377,0.507705718270572,0.973263258508383,7.45834073119875E-155,111.43912875592,0.98189139297566,0.007708333333333,0.914483821263482,1
Image10,6.18402099609375,895.196827341339,29.9198400286723,0.917259142834761,4.70717239569571,23.1681735150868,73.7141213389121,0.951172285508917,0.904728716720256,0.969454218336302,0.68615760111576,0.963931389382342,7.45834073119875E-155,113.069960063598,0.983962772677715,0.005295138888889,0.945252198887094,1
Image11,0.260589599609375,52.2848929038482,7.23082933720941,0.997060785773104,27.7227628411132,769.48955089005,18.0162831241283,0.998291541422656,0.996586001676023,0.998986700225012,0.091771269177127,0.849200365874512,7.45834073119875E-155,67.1798368862332,0.982749263775163,0.012447916666667,0.191657271702368,1
Image12,0.121688842773438,25.5239412507081,5.05212245009046,0.998500003610697,41.5015774533744,1723.38950596096,18.227649930265,0.9991283365968,0.998257432990688,0.999360806225704,0.087970711297071,0.687472986020664,7.45834073119875E-155,63.962550080355,0.967416157848718,0.026111111111111,0.048101265822785,1
Image13,4.74171447753906,750.203966037885,27.3898515154406,0.940119737696055,5.78104842938752,35.1420250197929,51.3840306834031,0.964820156336751,0.930877934073672,0.976638412216842,0.478661087866109,0.970006493569309,7.45834073119875E-155,70.6699781188625,0.986005202319972,0.005572916666667,0.922780851575656,1
Image14,2.31997680664062,395.269626067908,19.8813889370916,0.972146085078426,8.53883525136566,74.2707127294201,38.2650976290098,0.983734779707733,0.967734116806623,0.988451168241384,0.306345885634589,0.95762249006628,7.45834073119875E-155,64.8964204342455,0.967752961701746,0.021059027777778,0.593362386858867,1
Image15,2.86869812011719,365.293951409491,19.1126646862621,0.952677631831714,6.7072650334353,47.0243494559529,49.7226638772664,0.972264329039872,0.945297925523353,0.981362489107658,0.535216178521618,0.940403468408428,7.45834073119875E-155,71.4213908013214,0.984574309987047,0.0046875,0.90546218487395,1
Image16,17.8113861083984,1219.68074727265,34.9239280046309,0.610208684065724,1.69015777667945,4.15279146796124,107.296792189679,0.753241786082052,0.56737318830008,0.836566141839034,2.35917015341702,0.96128591498507,7.45834073119875E-155,96.5785274815751,0.719919985576151,0.236059027777778,0,0
Image17,0.110107421875,18.7106819397304,4.32558457780338,0.998290013075964,39.7917448364579,1605.09310107065,12.761820083682,0.999006284060816,0.998013555593,0.999115846018675,0.083612273361227,0.701511054105944,7.45834073119875E-155,114.488731648844,0.990588673648744,0.003819444444444,0.105691056910569,1
Image18,0.698532104492188,109.411598977516,10.4599999511241,0.989786477818763,14.9330296515865,224.015967212575,41.5938284518828,0.994055295357373,0.988145930228034,0.99598442417463,0.277963737796374,0.833618021465746,7.45834073119875E-155,108.806714408174,0.97749017779997,0.014131944444445,0.416905444126074,1
Image19,3.56449890136719,493.297810448951,22.2103086527169,0.947464532238769,6.1816369425388,39.5283020214492,51.7332984658299,0.969178509743901,0.939306983749409,0.978668601544078,0.547873082287308,0.954080183683983,7.45834073119875E-155,113.583265548322,0.985112985246572,0.004704861111111,0.91361173095314,1
Image20,4.28938293457031,544.531737191451,23.3352038172254,0.930546914358924,5.46146406749447,31.5966751723925,59.3114365411437,0.959120294753575,0.919911739808184,0.973069243789205,0.678765690376569,0.952298805324796,7.45834073119875E-155,108.685703877133,0.967969251760178,0.01453125,0.769484990360782,1
Image21,0.98175048828125,133.799456585562,11.5671715032484,0.984380417655789,11.8102694570423,141.441903899088,26.88940027894,0.990899757957993,0.981882330321209,0.993006066011539,0.244944211994421,0.912038408813887,7.45834073119875E-155,63.7319966130954,0.960088167959834,0.027534722222222,0.372626582278481,1
Image22,1.201416015625,164.652839396382,12.8317122550493,0.981786038062328,10.6854647917854,115.858466457357,18.5524407252441,0.989383098088397,0.978878914782995,0.992519255022017,0.182217573221757,0.950681177911893,7.45834073119875E-155,63.7319966130954,0.95996027984905,0.027534722222222,0.419472913616398,1
Image23,1.185302734375,143.050080251181,11.9603545202967,0.978807611788812,10.1387577950146,104.980995123899,26.6760808926081,0.98763999447889,0.975432758694263,0.991298821047011,0.271757322175732,0.918374733035487,7.45834073119875E-155,66.2167980897521,0.97305020103335,0.015538194444445,0.58963778083448,1
Image24,0,0,0,1,,,0,1,1,1,0,1,7.45834073119875E-155,70.9349590133397,,0.005243055555556,0,1
Image25,11.6238708496094,599.609691590693,24.4869289946839,0.657436201413616,1.77465929700007,4.14220744373279,53.4376917712692,0.785695083353023,0.617316764005114,0.892227385096493,1.18514644351464,0.960809394165548,7.45834073119875E-155,54.9864984840987,0.758533527234704,0.206267361111111,0,0
Image26,0,0,0,1,,,0,1,1,1,0,1,7.45834073119875E-155,66.9268925201033,,0.013194444444445,0,1
Image27,0.01617431640625,2.85718962248939,1.69032234277649,0.999759938546131,104.500062298724,10921.2194321474,2.17245467224547,0.999860531505944,0.999721082463348,0.999912833479788,0.01234309623431,0.667254854009185,7.45834073119875E-155,62.9796115588981,0.960711067312011,0.032743055555556,0.006322444678609,1
Image28,14.2906799316406,1153.06257004112,33.9567750241556,0.682492491327461,2.33007547477445,7.31180205718941,222.728521617852,0.80266905594956,0.644277613378957,0.868562868591564,3.30027894002789,0.915145509947045,7.45834073119875E-155,56.8207690144313,0.786201429848966,0.135208333333333,0.393741242410089,1
Image29,4.20610046386719,574.221667390516,23.9629227639392,0.936924236890074,5.72701227934207,34.7122887943862,61.7014644351464,0.96292000252393,0.927214931260686,0.973837310082295,0.653103207810321,0.952945394023027,7.45834073119875E-155,68.710723078456,0.978966355933314,0.00875,0.88809946714032,1
Image30,0.24261474609375,45.8623855190963,6.77217731007512,0.99709078690686,27.8891045701249,778.763597660983,15.954009762901,0.998308983393707,0.996620826324576,0.998979996413391,0.086645746164575,0.84776153989128,7.45834073119875E-155,64.6595371454644,0.971238498538583,0.022239583333333,0.115942028985507,1
Image31,0.448043823242188,47.1113279822017,6.8637692255933,0.990264875168209,15.3374017178708,237.298859554733,17.5319386331939,0.994334235404259,0.988700571696973,0.996211500227363,0.175801952580195,0.837129099384563,7.45834073119875E-155,71.2789864101753,0.990606849142418,0.00484375,0,0
Image32,0,0,0,1,,,0,1,1,1,0,1,7.45834073119875E-155,inf,,0,,0
Image33,0,0,0,1,,,0,1,1,1,0,1,7.45834073119875E-155,80.1720034352384,,0.000625,0,1
Image34,0.055465698242188,7.46702526138051,2.73258581958198,0.998949885567281,49.2714101351276,2429.55348579027,4.8797419804742,0.999389824999498,0.998780022312528,0.999479820666405,0.037866108786611,0.714009048978941,7.45834073119875E-155,68.7889764535755,0.985797769089645,0.00859375,0.098360655737705,1
